question,answer
단속 카메라 및 안내 경로에 대한 오류  등이 발행하는 경우 어떤 조치를 취할 수 있나요?,"사고를 목격하시거나, 갑작스러운 도로 공사, 통제, 포트홀로 길이 막힌 경우, 지도안내 화면에서 해당 지점을 길게 누르면, ‘사용자 신고’를 바로 실행할 수 있습니다.신고된 정보는 향후 안전 운행을 위한 소중한 데이터로 활용됩니다.* 지도 정보가 이상하면 “지도정보”, 도로 카메라 정보가 잘못되어 있으면 “카메라”, 터널 등 외부 공기를 차단해야 할 곳이 있다면 “외부 공기 차단”을 눌러주세요.* 표준형5W, 고급형6세대 가 적용된 차종에서 제공됩니다."
모바일 내비게이션 대비 기아 내비게이션의 ‘도착 예정 시간’은 정확한가요?,"기아 내비게이션은 커넥티드 카 기반의 교통 정보 활용, 경로 탐색 품질이 개선되는 순환 구조를 통해 안정된 경로 품질을 제공하고 있습니다."
모바일 내비게이션과 차별화 되는 기아 내비게이션만의 특장점은 무엇인가요?,"① 일반 지도만 사용하는 모바일 내비게이션과는 달리 국내 전국 ADAS 지도 구축을 통해 정확한 지도 정보를 제공합니다.② GPS 수신정보 외 차량 내 센서 데이터를 이용하여 터널,지하차도, 지하주차장에서도 정확한 길 안내 서비스를 제공합니다.* 지하주차장 지도를 제공하는 주차장은 코엑스, 롯데 월드, 현대 프리미엄 아울렛 김포, 더현대 서울, 현대백화점 판교점, 디에이치 자이 개포, 디에이치 반포 라클라스 등 을 제공하고 있으며, 앞으로 지속적으로  확대 예정입니다.③ 지도 데이터 및 위치 데이터를 활용한 다양한 차량 연동 기능을 통해 차량 내 고객에게 보다 안전하고 편리한 기능을 제공합니다.- 터널 진입 시 외부공기 유입방지 제어, 내비게이션 연동 스마트 크루즈 컨트롤, 그린존 드라이브 모드 등"
내비게이션 외 클러스터와 헤드업 디스플레이도 무선 업데이트가 되나요?,"2022년 7월 정기 업데이트 시, ‘THE NEW K9 2021’ 모델에 헤드업 디스플레이(HUD)의 길 안내 그래픽이 새롭게 적용 되었습니다.추후 대상 차종 확대 예정이며, 헤드업 디스플레이 업데이트는 해당 옵션 장착 차량만 가능합니다.* 클러스터와 헤드업 디스플레이 업데이트 적용 여부는 차종마다 상이할 수 있습니다.* 지자체 실 도로 유도선 색상과 클러스터/헤드업 디스플레이/내비게이션 유도 색상 정보 동일하게 반영하여 운전자 편의 강화"
내비게이션 무선 업데이트는 어떻게 이뤄지나요?,"일정 시간 이상 주행 시, 최신 버전의 지도와 소프트웨어로 자동 업데이트가 진행되며,주행 종료 후 시동을 끌 때 팝업 표시창의 ‘시작’ 버튼을 누르면 시스템 업데이트까지 최종 완료됩니다.* 업데이트 상태 확인은 '설정-일반-SW정보/업데이트' 에서 확인할 수 있습니다."
내비게이션 업데이트 주기가 어떻게 되나요?,"내비게이션은 연 6회 정기 유/무선 업데이트를 통해 최신 지도 및 안정적인 내비게이션 시스템 & 신규 기능 적용을 제공하고 있으며,OTA 무선 업데이트를 통해 더욱 편리한 업데이트 경험을 제공하고 있습니다. (단속 카메라 반영 등 기본 정보는 수시로 업데이트 중에 있음)* OTA 무선 업데이트를 위해서는 기아커넥트 서비스 가입이 필요하며, 표준형5W/고급형6세대가 적용된 차종에서 제공됩니다."
빌트인 캠 USB메모리 저장버튼이 활성화가 안됩니다. 어떻게 해야 하나요?,USB 연결 단자를 확인해 주세요. 정상적으로 연결 시 화면 상단에 USB 연결 아이콘이 표시됩니다.빌트인 캠 전용 단자는 멀티미디어 USB단자와 다르게 글로브 박스 또는 콘솔 박스 내부에 위치해 있습니다. (차종별 상이)
빌트인 캠 업데이트를 하지 않으면 영상 녹화가 안되나요?,"업데이트와 영상 녹화는 관련이 없습니다. 다만, 업데이트를 하지 않은 경우 스마트폰 연결 오류 등 일부 기능이 정상적으로 동작하지 않을 수 있으니 꼭 업데이트를 받으시기 바랍니다."
빌트인 캠 녹화영상 관리 방법이 궁금합니다.,"주행 중 상시 영상은 최대 3시간, 주차 중 상시 영상은 최대 20시간, 주행/주차 중 충격감지 이벤트는 최대 40건, 수동 스위치 녹화는 최대 30건 까지 저장 가능합니다.저장공간 초과 시 가장 이른 녹화영상부터 자동 삭제되므로, 중요파일은 보관함[★]에 저장하시거나 사고 직후에도 차량 주행 필요 시 '주행중 녹화기능'을 꺼주세요.* 주행 중 상시 / 주차 중 상시 / 주행 중 이벤트 / 주차 중 이벤트 영상은 독립적으로 분할 저장됩니다."
빌트인 캠 이벤트 알림을 설정했는데도 알림 메세지가 오지 않습니다. 어떻게 해야 하나요?,"① 이벤트 알림은 민감도 설정값이 3단계 이하인 경우만 제공하고 있습니다.민감도 4단계 이상 설정한 경우에도, 이벤트 알림 여부와 상관없이 녹화기능은 작동하고 있으니, 걱정마세요.* 민감도 4,5단계 이벤트 알림 없는 이유 : 이벤트 알림은 주차 후 최대 5회까지 제공되며, 민감도를 높게 설정할 경우 정말 중요한 이벤트 알림을 받을 수 없어 민감도 보통 이하에서만 알림을 제공하고 있습니다.* 이벤트 알림 설정 방법 : 인포테인먼트 시스템의 빌트인 캠 화면에서 '빌트인 캠 설정>녹화>주차 중 이벤트 알림'을 선택하면 커넥티드 서비스 앱을 통해 알림을 받을 수 있습니다. 단, 커넥티드 서비스에 가입 후 앱에서도 알림을 받도록 설정하여야 합니다.② 이벤트 알림은 불필요한 알림이 가지 않도록 차량 잠금(도난경보장치 경계 상태) 후 발생한 이벤트에 대해서만 알림을 보내고 있습니다. 녹화 기능은 작동하고 있으니, 걱정 마세요."
